"node","smoke","drugs"
"V1",1,1
"V2",1,3
"V3",0,1
"V4",0,1
"V5",0,3
"V6",1,1
"V7",1,3
"V8",1,3
"V9",0,1
"V10",1,1
"V11",1,2
"V12",1,3
"V13",0,3
"V14",1,1
"V15",1,3
"V16",1,3
"V17",1,2
"V18",1,2
"V19",1,3
"V20",0,1
"V21",0,1
"V22",0,1
"V23",1,4
"V24",0,2
"V25",0,1
"V26",1,3
"V27",1,1
"V28",0,1
"V29",0,2
"V30",1,3
"V31",0,1
"V32",0,1
"V33",1,1
"V34",0,1
"V35",0,3
"V36",1,3
"V37",0,1
"V38",0,3
"V39",0,1
"V40",0,1
"V41",1,3
"V42",1,3
"V43",0,2
"V44",1,3
"V45",0,1
"V46",0,1
"V47",0,1
"V48",0,1
"V49",0,1
"V50",1,3
